epoch,loss,acc,precision,recall,f1_macro,f1_micro,top3,top5,param_local,param_global,param_classical,feat_local,feat_global,feat_classical,feat_quantum_total,patch_count,val_time_s,epoch_time_s
1,73.52343726158142,0.14,0.045415695415695415,0.12678571428571428,0.05263672126089527,0.14,0.45,0.73,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.5432925635901563,0.3707542561053776,0.08595318030186098,0.9140468196955339,4,1.1753895282745361,212.55404615402222
2,72.56518411636353,0.21,0.16953947368421055,0.17961038961038964,0.14054635917751368,0.21,0.44,0.74,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.5318009454072532,0.32394830274234887,0.1442507518478229,0.8557492481496021,4,0.9808130264282227,208.12771201133728
3,71.59014749526978,0.19,0.05890109890109889,0.15666666666666668,0.07430830039525692,0.19,0.51,0.77,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.3158516606203436,0.20790246253946773,0.4762458768385913,0.5237541231598113,4,1.225271463394165,213.82548141479492
4,67.90209686756134,0.28,0.15424888517279822,0.24047619047619045,0.15144519569186798,0.28,0.54,0.79,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.18034331745792428,0.12598226008008434,0.6936744224609869,0.3063255775380086,4,0.9861745834350586,215.7580840587616
5,63.33146119117737,0.29,0.13239163223817957,0.23977272727272725,0.1686082513977251,0.29,0.59,0.79,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.1088269912117159,0.07847945054737705,0.8126935582402546,0.18730644175909295,4,0.9835760593414307,206.32129859924316
