epoch,variant,tag,n_train_samples,n_val_samples,train_loss,train_acc_approx,val_acc,val_precision,val_recall,val_f1_macro,val_f1_micro,val_top3,val_top5,feat_classical,feat_local,feat_global,param_classical,param_local,param_global,train_time_s,val_time_s,epoch_time_s,lr,local_bwd_this_epoch,global_bwd_this_epoch,fwd_this_epoch,total_this_epoch,global_bwd_cumulative,grand_total_cumulative,best_val_acc
1,commuting,Commuting,2500,200,2.2816,0.1328,0.215,0.121224,0.215,0.118882,0.215,0.53,0.775,0.355252,0.264187,0.380561,0.999357,0.000386,0.000257,334.71,2.16,337.05,0.001,135000,27500,16200,178700,27500,178700,0.215
2,commuting,Commuting,2500,200,1.975311,0.252,0.25,0.129611,0.25,0.147142,0.25,0.7,0.9,0.782263,0.082887,0.134851,0.999357,0.000386,0.000257,326.45,2.24,328.86,0.001,135000,27500,16200,178700,55000,357400,0.25
3,commuting,Commuting,2500,200,1.58418,0.4132,0.54,0.451076,0.54,0.484451,0.54,0.805,0.94,0.915747,0.017477,0.066777,0.999357,0.000386,0.000257,328.8,2.22,331.19,0.001,135000,27500,16200,178700,82500,536100,0.54
