epoch,loss,acc,precision,recall,f1_macro,f1_micro,top3,top5,param_local,param_global,param_classical,feat_local,feat_global,feat_classical,feat_quantum_total,noisy_acc,patch_count,val_time_s,noisy_val_time_s,epoch_time_s
1,73.52343726158142,0.14,0.045415695415695415,0.12678571428571428,0.05263672126089527,0.14,0.45,0.73,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.5432925635901563,0.3707542561053776,0.08595318030186098,0.9140468196955339,0.14,4,1.1168458461761475,175.8944330215454,437.8277246952057
2,72.69803500175476,0.19,0.19688513037350247,0.18393939393939393,0.11662846956964604,0.19,0.46,0.7,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.5434682317501219,0.32815837437931833,0.12837339386794977,0.8716266061294402,0.19,4,0.9864916801452637,161.3098702430725,367.6545104980469
3,71.75006341934204,0.22,0.07697916666666667,0.16452380952380952,0.09301587301587302,0.22,0.44,0.68,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.2937244175744856,0.2104512711464476,0.4958243112775617,0.5041756887209332,0.22,4,0.9879839420318604,165.65899395942688,376.66721391677856
4,68.29388678073883,0.27,0.10039173789173787,0.2361904761904762,0.13295854235138096,0.27,0.52,0.73,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.15373880705508916,0.10608883538700425,0.7401723575570299,0.25982764244209344,0.27,4,0.9890642166137695,167.02618169784546,392.47122597694397
5,63.823339343070984,0.29,0.16101364522417155,0.24853896103896106,0.1604945054945055,0.29,0.62,0.76,0.0003858851777215624,0.0007717703554431248,0.9988423444668353,0.10166724273710628,0.06834191678834008,0.8299908404739403,0.17000915952544637,0.29,4,1.0405025482177734,172.41249084472656,394.45688796043396
